timestamp,iterations,solutions,solver_checks,solver_time
1675761580.7378004,137,135,755,44542.02882504463
1675761626.5631876,138,136,756,44587.84319424629
1675761730.9161656,139,137,770,44692.16963839531
1675761845.2329624,140,138,771,44806.47088766098
1675761882.381298,141,139,781,44843.59400677681
1675761937.312829,142,140,782,44898.513172864914
1675762003.8647118,143,141,796,44965.03882741928
1675762056.7545984,144,142,797,45017.91339921951
1675762129.6881135,145,143,806,45090.80715584755
1675762186.382454,146,144,810,45147.48285770416
1675762246.8308537,147,145,811,45207.916924238205
1675762319.2397292,148,146,820,45280.30621147156
1675762391.2518146,149,147,821,45352.3037583828
1675762438.5369792,150,148,836,45399.55484414101
1675762486.3439686,151,149,837,45447.347487688065
1675762540.0220325,152,150,851,45500.989466905594
1675762623.8750017,153,151,852,45584.82366895676
1675762709.2522464,154,152,861,45670.16174197197
1675762773.670483,155,153,865,45734.5532681942
1675762858.038159,156,154,866,45818.900054216385
1675762962.4645712,157,155,880,45923.28843641281
1675763023.3984263,158,156,881,45984.20802164078
1675763098.1596715,159,157,891,46058.94181108475
1675763140.6107538,160,158,892,46101.377437353134
1675763178.6074944,161,159,901,46139.35146188736
1675763239.9188251,162,160,902,46200.649117708206
1675763430.5843048,163,161,915,46391.28328180313
1675763476.921297,164,162,916,46437.5979282856
1675763561.3238573,165,163,917,46521.98094248772
1675763701.5235567,166,164,918,46662.15965247154
1675763835.4872913,167,165,921,46796.10161089897
1675763931.2307591,168,166,925,46891.81955623627
1675764097.8072467,169,167,926,47058.373668432236
1675764341.233941,170,168,940,47301.7644636631
1675764482.0793638,171,169,941,47442.59111618996
1675764584.8463979,172,170,951,47545.31648898125
1675764674.6060455,173,171,952,47635.05927681923
1675764881.7404032,174,172,966,47842.15554237366
1675765024.787923,175,173,967,47985.18358826637
1675765146.3414888,176,174,976,48106.70267653465
1675765243.2289417,177,175,980,48203.564024209976
1675765466.6642768,178,176,981,48426.981786727905
1675765572.3023038,179,177,995,48532.58329534531
1675765644.9828887,180,178,996,48605.244832754135
1675765701.1238322,181,179,1006,48661.35254240036
1675765776.723236,182,180,1007,48736.93228292465
1675765870.9739995,183,181,1021,48831.143572092056
1675765943.4871924,184,182,1022,48903.63631796837
1675765991.7090719,185,183,1031,48951.8267865181
1675766197.2390032,186,184,1035,49157.33445382118
1675766300.2667675,187,185,1036,49260.34448480606
1675766434.8749068,188,186,1045,49394.92600727081
1675766516.8903558,189,187,1046,49476.923149347305
1675766722.4763763,190,188,1061,49682.46601891518
1675766864.410115,191,189,1062,49824.37932229042
1675766919.5934675,192,190,1076,49879.52544474602
1675767068.7955425,193,191,1077,50028.707902908325
1675767176.7183492,194,192,1086,50136.5988676548
1675767264.7358582,195,193,1090,50224.590466976166
1675767329.4799087,196,194,1091,50289.31725025177
1675767459.6895452,197,195,1105,50419.49146127701
1675767587.8866298,198,196,1106,50547.67038702965
1675767648.969941,199,197,1116,50608.71822834015
1675767705.260333,200,198,1117,50664.98508262634
1675767794.2935588,201,199,1131,50753.97755074501
1675767924.3213153,202,200,1132,50883.985365867615
1675768048.1834831,203,201,1141,51007.80768632889
1675768103.4149017,204,202,1145,51063.014963150024
1675768189.0464664,205,203,1146,51148.6260869503
1675768242.4472086,206,204,1150,51202.01121020317
1675768372.5253315,207,205,1151,51332.074365377426
1675768417.8693266,208,206,1171,51377.38360977173
1675768475.6690342,209,207,1172,51435.167817115784
1675768552.37095,210,208,1181,51511.84637784958
1675768664.7710853,211,209,1182,51624.22716212273
1675768787.1815193,212,210,1195,51746.59410071373
1675769082.1945124,213,211,1196,52041.58419632912
1675769204.931674,214,212,1197,52164.29825735092
1675769281.8140516,215,213,1198,52241.163806438446
1675769326.3558617,216,214,1199,52285.688752412796
1675769432.3571565,217,215,1202,52391.67575073242
1675769478.0118408,218,216,1206,52437.31094074249
1675769534.1154926,219,217,1207,52493.40047240257
1675769576.0292165,220,218,1221,52535.2884914875
1675769626.447937,221,219,1222,52585.693598508835
1675769658.1711497,222,220,1232,52617.39198255539
1675769731.8706784,223,221,1233,52691.07738637924
1675769793.124078,224,222,1247,52752.29235768318
1675769910.0431437,225,223,1248,52869.19401597977
1675769999.8953803,226,224,1257,52959.015501737595
1675770033.140147,227,225,1261,52992.23569417
1675770119.3854373,228,226,1262,53078.46561217308
1675770203.6507847,229,227,1276,53162.69482898712
1675770276.7181332,230,228,1277,53235.74406981468
1675770331.142816,231,229,1287,53290.13622879982
1675770433.3445628,232,230,1288,53392.31947731972
1675770499.305235,233,231,1302,53458.24516057968
1675770695.1546338,234,232,1303,53654.0777490139
1675770758.1680596,235,233,1312,53717.058859586716
1675770833.6726274,236,234,1316,53792.53879761696
1675770887.6647813,237,235,1317,53846.51278614998
1675770932.7654152,238,236,1331,53891.57622408867
1675770979.658322,239,237,1332,53938.450343847275
1675771061.2802215,240,238,1342,54020.04012989998
1675771199.659651,241,239,1343,54158.40120244026
1675771273.669246,242,240,1357,54232.370717048645
1675771458.776617,243,241,1358,54417.45658993721
1675771527.8450603,244,242,1367,54486.492354393005
1675771675.663944,245,243,1371,54634.28480601311
1675771767.0696282,246,244,1372,54725.67213630676
1675771910.2172287,247,245,1386,54868.78314828873
1675772069.511847,248,246,1387,55028.05775928497
1675772122.7258995,249,247,1397,55081.23118376732
1675772224.6414583,250,248,1398,55183.1278796196
1675772330.790601,251,249,1412,55289.240429878235
1675772810.003215,252,250,1413,55768.43568730354
1675773507.4696665,253,251,1422,56465.85308814049
1675777637.2147555,254,252,1423,60595.577548503876
1675777725.5766246,255,253,1424,60683.91626524925
1675777819.4935868,256,254,1425,60777.806236982346
