timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_ideal_checks,verifier_ideal_time,verifier_adv_checks,verifier_adv_time
1675555590.2058842,1,0,0,0,0,0,0,0,0
1675555590.5788434,2,1,0,1,0.010947465896606445,3,0.22388195991516113,0,0
1675555591.2342126,3,2,0,2,0.17454791069030762,12,0.5247211456298828,0,0
1675555592.2841716,4,3,0,3,0.44359397888183594,21,1.0751903057098389,0,0
1675555593.5736105,5,4,0,4,1.057173490524292,30,1.491253137588501,0,0
1675555598.337203,6,4,1,5,1.5057427883148193,31,2.577566146850586,2,3.02234148979187
1675555599.0145879,7,5,1,6,1.631709337234497,34,2.950936794281006,2,3.02234148979187
1675555600.5069547,8,6,1,7,2.3547496795654297,43,3.5022668838500977,2,3.02234148979187
1675555601.4100769,9,7,1,8,2.4683845043182373,52,4.058186054229736,2,3.02234148979187
1675555606.929531,10,7,2,9,4.668798923492432,53,4.410345077514648,4,5.8049705028533936
1675555609.688129,11,8,2,10,4.944504499435425,54,5.0309858322143555,17,7.394404172897339
1675555612.3181467,12,9,2,11,5.176060199737549,55,5.1903181076049805,30,9.313998699188232
1675555619.2765718,13,10,2,12,11.55191683769226,64,5.479755640029907,30,9.313998699188232
1675555621.0799825,14,11,2,13,12.50377607345581,73,6.033808708190918,30,9.313998699188232
1675555624.9892108,15,11,3,14,13.761007308959961,74,6.376107454299927,32,11.32738971710205
1675555628.002387,16,12,3,15,15.947379112243652,83,6.878482103347778,32,11.32738971710205
1675555631.1707602,17,13,3,16,18.668262243270874,86,6.992048263549805,32,11.32738971710205
1675555633.8547783,18,14,3,17,20.83784008026123,89,7.149477958679199,32,11.32738971710205
1675555643.4781756,19,14,4,18,28.95563316345215,90,7.398674726486206,34,12.25788927078247
1675555652.1288564,20,15,4,19,30.706918478012085,91,7.948385715484619,53,18.133116722106934
1675555663.18421,21,16,4,20,37.07726573944092,92,8.354336738586426,66,21.941974639892578
1675555668.8358889,22,17,4,21,38.1591637134552,93,8.611178636550903,79,25.697128534317017
1675555695.818119,23,18,4,22,40.30742001533508,94,9.452200174331665,98,48.7424521446228
1675555702.0548859,24,18,5,23,42.05144143104553,95,10.309080362319946,100,51.6521680355072
1675555705.2609522,25,19,5,24,43.02454900741577,96,10.66503119468689,110,52.636892318725586
1675555721.745984,26,20,5,25,46.853842973709106,97,11.755374908447266,129,63.22983407974243
1675555727.475508,27,21,5,26,50.99411988258362,106,12.406724452972412,129,63.22983407974243
1675555738.9992704,28,22,5,27,57.1627459526062,107,12.726176738739014,142,67.21377563476562
1675555758.497303,29,23,5,28,62.847872495651245,108,13.259527444839478,161,79.31471943855286
1675555776.084868,30,24,5,29,78.29510712623596,117,14.255236864089966,161,79.31471943855286
1675555802.1791399,31,24,6,30,96.23212003707886,118,15.952626943588257,163,84.72244906425476
1675555811.0754595,32,24,7,31,100.91505670547485,119,16.457847356796265,165,87.35827922821045
1675555829.7290337,33,24,8,32,113.20621633529663,120,17.01298713684082,167,92.07997846603394
1675555847.6956637,34,25,8,33,114.8121771812439,121,18.053743600845337,186,106.01959776878357
1675555887.1106377,35,26,8,34,119.39412331581116,122,19.2031033039093,205,138.2515308856964
1675555926.680545,36,27,8,35,121.99448704719543,123,19.97034454345703,218,173.0466504096985
1675555959.730338,37,28,8,36,133.73572635650635,124,20.62622308731079,231,192.37024641036987
1675555984.6572099,38,29,8,37,136.2203049659729,125,21.249804735183716,250,212.80734515190125
1675556008.6048489,39,30,8,38,137.91619229316711,126,23.49377703666687,269,231.39524698257446
1675556026.7224054,40,31,8,39,147.58074378967285,127,23.8364474773407,288,237.98421931266785
1675556058.0557044,41,32,8,40,150.9930341243744,128,24.3152973651886,307,263.85482025146484
1675556090.4584293,42,33,8,41,158.67842292785645,129,25.068042516708374,326,286.2170090675354
1675556130.5037742,43,34,8,42,169.19929885864258,130,25.816171884536743,346,313.3160398006439
1675556155.56511,44,35,8,43,176.20854687690735,131,26.323824882507324,366,329.3769853115082
1675556197.0771565,45,36,8,44,192.32409191131592,132,26.808159589767456,386,353.26509070396423
1675556220.5520873,46,37,8,45,204.1607654094696,133,27.15751028060913,405,363.534467458725
1675556234.590154,47,38,8,46,208.95572066307068,134,27.552627086639404,418,371.3912296295166
1675556235.8023155,48,38,8,47,209.36469197273254,134,27.552627086639404,418,371.3912296295166
