timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_main_checks,verifier_main_time
1675536691.704716,1,0,0,0,0,0,0
1675536716.7437966,2,1,0,1,0.011148929595947266,1,24.828078031539917
1675536743.3933015,3,2,0,2,0.018082141876220703,2,51.17418193817139
1675536777.0347211,4,3,0,3,0.02543950080871582,3,84.49589014053345
1675536789.389104,5,4,0,4,0.02982163429260254,4,96.50840902328491
1675536812.4523551,6,5,0,5,0.03923964500427246,5,119.12816596031189
1675536812.9637423,7,6,0,6,0.04485893249511719,6,119.16725373268127
1675536813.5867946,8,7,0,7,0.05112457275390625,7,119.26210570335388
1675536814.363956,9,8,0,8,0.05716729164123535,8,119.43142652511597
1675536832.3602798,10,9,0,9,0.06247973442077637,9,136.68700623512268
1675536865.4686782,11,10,0,10,0.07122802734375,10,168.61472964286804
1675536891.8563557,12,11,0,11,0.08417630195617676,11,193.7782952785492
1675536937.9368668,13,12,0,12,0.09365534782409668,12,239.0046181678772
1675536943.1943688,14,13,0,13,0.10981893539428711,13,243.27153158187866
1675537059.7651405,15,14,0,14,0.14336109161376953,14,358.2309944629669
1675537160.746319,16,15,0,15,0.15900588035583496,15,457.65094208717346
1675537182.1852643,17,16,0,16,0.17427682876586914,16,477.91577982902527
1675537183.7281268,18,17,0,17,0.1889944076538086,17,477.9815011024475
1675537185.397291,19,18,0,18,0.19697165489196777,18,478.07258009910583
1675537187.47033,20,19,0,19,0.21651029586791992,19,478.1013286113739
1675537236.0264578,21,20,0,20,0.24753189086914062,20,524.5079734325409
1675537253.626157,22,21,0,21,0.25887131690979004,21,539.8817400932312
1675537267.792789,23,22,0,22,0.2858250141143799,22,551.7827727794647
1675537290.7710757,24,23,0,23,0.3054022789001465,23,573.1963448524475
1675537309.3400965,25,24,0,24,0.3172762393951416,24,590.1478283405304
1675537341.6777103,26,25,0,25,0.339341402053833,25,620.7307269573212
1675537400.6911647,27,25,1,26,0.3495516777038574,26,677.9960584640503
1675537422.9745474,28,26,1,27,0.3558361530303955,27,698.5923302173615
1675537491.988155,29,26,2,28,0.38203978538513184,28,765.8458724021912
1675537512.68419,30,27,2,29,0.3914906978607178,29,784.7392644882202
1675537514.4655247,31,27,2,30,0.4010930061340332,29,784.7392644882202
