timestamp,iterations,solutions,solver_checks,solver_time
1675538857.802625,1,0,0,0
1675556324.2605107,2,0,1,17466.455438375473
1675562213.1248481,3,1,4,23355.211049556732
1675601449.6413667,4,2,13,62591.13154220581
