timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_ideal_checks,verifier_ideal_time,verifier_adv_checks,verifier_adv_time
1675974120.7828164,1,0,0,0,0,0,0,0,0
1675974176.1603057,2,0,1,1,0.008758068084716797,1,54.54318594932556,2,0.23331117630004883
